Nom;Llicència
Marta Casals Ribas;Licencia n.º 125001
Jordi Puig Ferrer;Licencia n.º 125002
Laia Font Serra;Licencia n.º 125003
Pau Vidal Roca;Licencia n.º 125004
Núria Soler Camps;Licencia n.º 125005
Àlex Martí Bosch;Licencia n.º 125006
Carla Pons Vila;Licencia n.º 125007
Marc Riera Coll;Licencia n.º 125008
Aina Batlle Prat;Licencia n.º 125009
Oriol Mas Sala;Licencia n.º 125010
Berta Col·lell Garriga;Licencia n.º 125011
Sergi Castañer Llop;Licencia n.º 125012
Judit Rovira Güell;Licencia n.º 125013
Pere Vilaça Torrent;Licencia n.º 125014
Clara Ibáñez Moreno;Licencia n.º 125015
David Muñoz Ortega;Licencia n.º 125016
Irene Sánchez Gil;Licencia n.º 125017
Xavier Planas Oliver;Licencia n.º 125018
Mireia Esteve Grau;Licencia n.º 125019
Arnau Bonet Fuster;Licencia n.º 125020
Elena Navarro Ruiz;Licencia n.º 125021
Guillem Sabaté Querol;Licencia n.º 125022
Rosa Maria Cardona Pujol;Licencia n.º 125023
Joan Carles Domènech Arnau;Licencia n.º 125024
Maria del Carme Puigdomènech i Sabaté;Licencia n.º 125025
Maria Montserrat Vallverdú i Casademunt;Licencia n.º 125026
Ferran Giménez Blasco;Licencia n.º 125027
Anna Ventura Mestres;Licencia n.º 125028
Roger Almirall Serrat;Licencia n.º 125029
Queralt Ferrando Pi;Licencia n.º 125030
